epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
34,180.078,1.62039,2.61983,4.31662,1.26923,0,0,0,0,0,0,0,0,0,1.36853,2.25546,4.4603,1.37911,0,5.44439e-05,5.44439e-05,5.44439e-05
35,182.205,1.05074,3.85466,4.18361,1.13217,0,0,0,0,0,0,0,0,0,1.31153,2.13315,4.43876,1.31394,0,5.28893e-05,5.28893e-05,5.28893e-05
36,183.926,1.7217,3.37533,3.826,2.06017,0,0,0,0,0,0,0,0,0,1.31153,2.13315,4.43876,1.31394,0,5.11462e-05,5.11462e-05,5.11462e-05
37,185.606,1.80259,2.94895,3.98139,1.40114,0,0,0,0,0,0,0,0,0,1.31153,2.13315,4.43876,1.31394,0,4.92146e-05,4.92146e-05,4.92146e-05
38,187.389,1.09256,2.31757,4.05067,1.05533,0,0,0,0,0,0,0,0,0,1.31153,2.13315,4.43876,1.31394,0,4.70945e-05,4.70945e-05,4.70945e-05
39,189.045,1.50795,3.28725,3.77132,2.09978,0,0,0,0,0,0,0,0,0,1.31153,2.13315,4.43876,1.31394,0,4.47859e-05,4.47859e-05,4.47859e-05
40,191.201,1.12239,2.78051,4.13579,1.13583,0,0,0,0,0,0,0,0,0,1.31153,2.13315,4.43876,1.31394,0,4.22888e-05,4.22888e-05,4.22888e-05
41,193.406,1.12783,2.55807,4.45628,1.1241,0,0,0,0,0,0,0,0,0,1.31153,2.13315,4.43876,1.31394,0,3.96032e-05,3.96032e-05,3.96032e-05
42,199.201,1.42117,2.19518,4.45133,1.20533,0,0,0,0,0,0,0,0,0,1.1502,1.79043,4.41954,1.23223,0,3.67291e-05,3.67291e-05,3.67291e-05
43,203.279,1.11033,2.38842,4.29134,1.18477,0,0,0,0,0,0,0,0,0,1.1502,1.79043,4.41954,1.23223,0,3.36665e-05,3.36665e-05,3.36665e-05
44,205.131,1.46781,4.0516,3.85764,2.27003,0,0,0,0,0,0,0,0,0,1.1502,1.79043,4.41954,1.23223,0,3.04154e-05,3.04154e-05,3.04154e-05
45,206.92,1.33343,2.48391,4.29141,1.27894,0,0,0,0,0,0,0,0,0,1.1502,1.79043,4.41954,1.23223,0,2.69759e-05,2.69759e-05,2.69759e-05
46,208.716,1.39586,1.95387,4.177,1.28585,0,0,0,0,0,0,0,0,0,1.1502,1.79043,4.41954,1.23223,0,2.33478e-05,2.33478e-05,2.33478e-05
47,210.525,1.60678,3.98539,4.16703,1.38236,0,0,0,0,0,0,0,0,0,1.1502,1.79043,4.41954,1.23223,0,1.95312e-05,1.95312e-05,1.95312e-05
48,212.173,1.78818,2.71448,4.18243,1.44008,0,0,0,0,0,0,0,0,0,1.1502,1.79043,4.41954,1.23223,0,1.55262e-05,1.55262e-05,1.55262e-05
49,214.021,1.90818,4.10033,4.36316,1.4647,0,0,0,0,0,0,0,0,0,1.1502,1.79043,4.41954,1.23223,0,1.13326e-05,1.13326e-05,1.13326e-05
50,215.832,1.66295,2.96235,4.25739,1.51089,0,0.5,0.25,0.2475,0.17325,0.5,0.25,0.2475,0.1485,1.19483,1.69517,4.40593,1.23546,0,6.95055e-06,6.95055e-06,6.95055e-06
